{'lon': 0.0, 's2': -0.07, 's1': 40.69, 'sp': nan, 'linux_time': 1484700515.4825, 'a_z': 1.0561, 'a_y': -0.0212, 'a_x': -0.0089, 'p': 100972.6646, 't': 22.2816, 'b2': 1.024, 'lat': 0.0, 'c2': -1.0, 'c1': 422.0, 'alt': nan, 'b1': 3.456}
{'lon': 0.0, 's2': -0.15, 's1': 16.42, 'sp': nan, 'linux_time': 1484700515.5009, 'a_z': 1.0662, 'a_y': -0.0204, 'a_x': -0.0071, 'p': 100972.6646, 't': 22.2816, 'b2': 0.896, 'lat': 0.0, 'c2': -2.0, 'c1': 186.0, 'alt': nan, 'b1': 3.456}
{'lon': 0.0, 's2': -0.15, 's1': 17.66, 'sp': nan, 'linux_time': 1484700515.5182, 'a_z': 1.0662, 'a_y': -0.0204, 'a_x': -0.0115, 'p': 100972.6646, 't': 22.2816, 'b2': 0.896, 'lat': 0.0, 'c2': -1.0, 'c1': 177.0, 'alt': nan, 'b1': 3.456}
{'lon': 0.0, 's2': -0.15, 's1': 15.86, 'sp': nan, 'linux_time': 1484700515.5354, 'a_z': 1.0617, 'a_y': -0.0152, 'a_x': -0.0065, 'p': 100972.6646, 't': 22.2816, 'b2': 0.896, 'lat': 0.0, 'c2': -2.0, 'c1': 196.0, 'alt': nan, 'b1': 3.456}
{'lon': 0.0, 's2': -0.19, 's1': 15.92, 'sp': nan, 'linux_time': 1484700515.5526, 'a_z': 1.052, 'a_y': -0.0059, 'a_x': -0.0014, 'p': 100972.6646, 't': 22.2816, 'b2': 0.896, 'lat': 0.0, 'c2': -2.0, 'c1': 174.0, 'alt': nan, 'b1': 3.456}
{'lon': 0.0, 's2': -0.19, 's1': 16.44, 'sp': nan, 'linux_time': 1484700515.5699, 'a_z': 1.0519, 'a_y': -0.0099, 'a_x': -0.0063, 'p': 100972.6646, 't': 22.2816, 'b2': 0.896, 'lat': 0.0, 'c2': -1.0, 'c1': 181.0, 'alt': nan, 'b1': 3.456}
{'lon': 0.0, 's2': -0.21, 's1': 13.76, 'sp': nan, 'linux_time': 1484700515.5872, 'a_z': 1.0389, 'a_y': -0.0164, 'a_x': -0.0062, 'p': 100972.6646, 't': 22.2816, 'b2': 0.896, 'lat': 0.0, 'c2': -2.0, 'c1': 173.0, 'alt': nan, 'b1': 3.456}
{'lon': 0.0, 's2': -0.12, 's1': 15.92, 'sp': nan, 'linux_time': 1484700515.6044, 'a_z': 1.0297, 'a_y': -0.0222, 'a_x': -0.0062, 'p': 100972.6646, 't': 22.2816, 'b2': 0.896, 'lat': 0.0, 'c2': -2.0, 'c1': 187.0, 'alt': nan, 'b1': 3.456}
{'lon': 0.0, 's2': -0.17, 's1': 15.51, 'sp': nan, 'linux_time': 1484700515.6217, 'a_z': 1.058, 'a_y': -0.0222, 'a_x': -0.0051, 'p': 100972.6646, 't': 22.2816, 'b2': 0.896, 'lat': 0.0, 'c2': -1.0, 'c1': 175.0, 'alt': nan, 'b1': 3.456}
{'lon': 0.0, 's2': -0.19, 's1': 15.41, 'sp': nan, 'linux_time': 1484700515.6389, 'a_z': 1.058, 'a_y': -0.0237, 'a_x': -0.0129, 'p': 100972.6646, 't': 22.2816, 'b2': 0.896, 'lat': 0.0, 'c2': -2.0, 'c1': 193.0, 'alt': nan, 'b1': 3.456}
{'lon': 0.0, 's2': -0.14, 's1': 15.4, 'sp': nan, 'linux_time': 1484700515.6562, 'a_z': 1.0661, 'a_y': -0.015, 'a_x': -0.0089, 'p': 100972.6646, 't': 22.2816, 'b2': 0.896, 'lat': 0.0, 'c2': -2.0, 'c1': 165.0, 'alt': nan, 'b1': 3.456}
