{'gps_lat': 37276000000000.0, 'gps_spd': 10.0, 'temp': 169000.0, 'gps_lon': -121827000000000.0, 'gps_alt': 8350.0, 'squib_deployed': 0.0, 'a_z': 100.0, 'a_y': 0.0, 'a_x': 0.0, 'volt_b1': 3456000.0, 'pressure': 1004.4000000000001, 'volt_b2': 1024000.0, 'time': 1485996576558.0, 'current_1': 37900.0, 'flight_mode': 0.0, 'mag_z': -10.5, 'mag_y': 9.8, 'mag_x': 75.9, 'current_2': 100.0}
{'gps_lat': 37276000000000.0, 'gps_spd': 10.0, 'temp': 169000.0, 'gps_lon': -121827000000000.0, 'gps_alt': 8350.0, 'squib_deployed': 0.0, 'a_z': 100.0, 'a_y': 0.0, 'a_x': 0.0, 'volt_b1': 3456000.0, 'pressure': 1004.4000000000001, 'volt_b2': 896000.0, 'time': 1485996576635.0, 'current_1': 15900.0, 'flight_mode': 0.0, 'mag_z': -10.700000000000001, 'mag_y': 9.700000000000001, 'mag_x': 75.5, 'current_2': 2100.0}
{'gps_lat': 37276000000000.0, 'gps_spd': 10.0, 'temp': 169000.0, 'gps_lon': -121827000000000.0, 'gps_alt': 8350.0, 'squib_deployed': 0.0, 'a_z': 100.0, 'a_y': 0.0, 'a_x': 0.0, 'volt_b1': 3456000.0, 'pressure': 1004.4000000000001, 'volt_b2': 896000.0, 'time': 1485996576712.0, 'current_1': 21000.0, 'flight_mode': 0.0, 'mag_z': -10.700000000000001, 'mag_y': 9.8, 'mag_x': 75.8, 'current_2': 1500.0}
{'gps_lat': 37276000000000.0, 'gps_spd': 10.0, 'temp': 169000.0, 'gps_lon': -121827000000000.0, 'gps_alt': 8350.0, 'squib_deployed': 0.0, 'a_z': 100.0, 'a_y': 0.0, 'a_x': 0.0, 'volt_b1': 3456000.0, 'pressure': 1004.4000000000001, 'volt_b2': 896000.0, 'time': 1485996576788.0, 'current_1': 22400.0, 'flight_mode': 0.0, 'mag_z': -11.100000000000001, 'mag_y': 9.600000000000001, 'mag_x': 75.5, 'current_2': 1800.0}
{'gps_lat': 37276000000000.0, 'gps_spd': 10.0, 'temp': 169000.0, 'gps_lon': -121827000000000.0, 'gps_alt': 8350.0, 'squib_deployed': 0.0, 'a_z': 100.0, 'a_y': 0.0, 'a_x': 0.0, 'volt_b1': 3456000.0, 'pressure': 1004.4000000000001, 'volt_b2': 896000.0, 'time': 1485996576864.0, 'current_1': 21000.0, 'flight_mode': 0.0, 'mag_z': -10.700000000000001, 'mag_y': 9.3, 'mag_x': 75.4, 'current_2': 1900.0}
{'gps_lat': 37276000000000.0, 'gps_spd': 10.0, 'temp': 169000.0, 'gps_lon': -121827000000000.0, 'gps_alt': 8350.0, 'squib_deployed': 0.0, 'a_z': 100.0, 'a_y': 0.0, 'a_x': 0.0, 'volt_b1': 3456000.0, 'pressure': 1004.4000000000001, 'volt_b2': 896000.0, 'time': 1485996576940.0, 'current_1': 20900.0, 'flight_mode': 0.0, 'mag_z': -10.700000000000001, 'mag_y': 9.600000000000001, 'mag_x': 75.60000000000001, 'current_2': 2000.0}
{'gps_lat': 37276000000000.0, 'gps_spd': 10.0, 'temp': 169000.0, 'gps_lon': -121827000000000.0, 'gps_alt': 8350.0, 'squib_deployed': 0.0, 'a_z': 100.0, 'a_y': 0.0, 'a_x': 0.0, 'volt_b1': 3456000.0, 'pressure': 1004.4000000000001, 'volt_b2': 896000.0, 'time': 1485996577017.0, 'current_1': 21700.0, 'flight_mode': 0.0, 'mag_z': -10.9, 'mag_y': 9.700000000000001, 'mag_x': 75.5, 'current_2': 2000.0}
{'gps_lat': 37276000000000.0, 'gps_spd': 10.0, 'temp': 169000.0, 'gps_lon': -121827000000000.0, 'gps_alt': 8350.0, 'squib_deployed': 0.0, 'a_z': 100.0, 'a_y': 0.0, 'a_x': 0.0, 'volt_b1': 3456000.0, 'pressure': 1004.4000000000001, 'volt_b2': 896000.0, 'time': 1485996577093.0, 'current_1': 21600.0, 'flight_mode': 0.0, 'mag_z': -10.8, 'mag_y': 9.700000000000001, 'mag_x': 75.60000000000001, 'current_2': 1600.0}
{'gps_lat': 37276000000000.0, 'gps_spd': 10.0, 'temp': 169000.0, 'gps_lon': -121827000000000.0, 'gps_alt': 8350.0, 'squib_deployed': 0.0, 'a_z': 100.0, 'a_y': 0.0, 'a_x': 0.0, 'volt_b1': 3456000.0, 'pressure': 1004.4000000000001, 'volt_b2': 896000.0, 'time': 1485996577169.0, 'current_1': 20900.0, 'flight_mode': 0.0, 'mag_z': -10.700000000000001, 'mag_y': 9.8, 'mag_x': 75.5, 'current_2': 1600.0}
{'gps_lat': 37276000000000.0, 'gps_spd': 10.0, 'temp': 169000.0, 'gps_lon': -121827000000000.0, 'gps_alt': 8350.0, 'squib_deployed': 0.0, 'a_z': 100.0, 'a_y': 0.0, 'a_x': 0.0, 'volt_b1': 3456000.0, 'pressure': 1004.4000000000001, 'volt_b2': 896000.0, 'time': 1485996577246.0, 'current_1': 20400.0, 'flight_mode': 0.0, 'mag_z': -10.4, 'mag_y': 9.3, 'mag_x': 75.10000000000001, 'current_2': 1500.0}
{'gps_lat': 37276000000000.0, 'gps_spd': 10.0, 'temp': 169000.0, 'gps_lon': -121827000000000.0, 'gps_alt': 8350.0, 'squib_deployed': 0.0, 'a_z': 100.0, 'a_y': 0.0, 'a_x': 0.0, 'volt_b1': 3456000.0, 'pressure': 1004.4000000000001, 'volt_b2': 896000.0, 'time': 1485996577322.0, 'current_1': 20000.0, 'flight_mode': 0.0, 'mag_z': -10.600000000000001, 'mag_y': 9.700000000000001, 'mag_x': 75.7, 'current_2': 2300.0}
