{'gps_lat': 37.276, 'squib_deployed': 0, 'temp': 22.935, 'gps_lon': -121.827, 'gps_alt': 83.506, 'flight_mode': 0, 'a_z': 1.048, 'a_y': -0.035, 'a_x': -0.016, 'volt_b1': 3.584, 'pressure': 100472.584, 'volt_b2': 1.024, 'current_2': -1.0, 'current_1': 238.0, 'time': 1486082290.327295, 'mag_y': 287.0, 'mag_x': 7759.0, 'gps_spd': 0.053, 'mag_z': -8363.0}
{'gps_lat': 37.276, 'squib_deployed': 0, 'temp': 22.935, 'gps_lon': -121.827, 'gps_alt': 83.506, 'flight_mode': 0, 'a_z': 1.053, 'a_y': -0.031, 'a_x': -0.013, 'volt_b1': 3.456, 'pressure': 100472.584, 'volt_b2': 1.024, 'current_2': -5.0, 'current_1': -207.0, 'time': 1486082290.404742, 'mag_y': 259.0, 'mag_x': 7732.0, 'gps_spd': 0.053, 'mag_z': -8321.0}
{'gps_lat': 37.276, 'squib_deployed': 0, 'temp': 22.935, 'gps_lon': -121.827, 'gps_alt': 83.506, 'flight_mode': 0, 'a_z': 1.053, 'a_y': -0.03, 'a_x': -0.012, 'volt_b1': 3.456, 'pressure': 100472.584, 'volt_b2': 1.024, 'current_2': -5.0, 'current_1': -171.0, 'time': 1486082290.482126, 'mag_y': 313.0, 'mag_x': 7744.0, 'gps_spd': 0.053, 'mag_z': -8340.0}
{'gps_lat': 37.276, 'squib_deployed': 0, 'temp': 22.935, 'gps_lon': -121.827, 'gps_alt': 83.506, 'flight_mode': 0, 'a_z': 1.049, 'a_y': -0.033, 'a_x': -0.013, 'volt_b1': 3.456, 'pressure': 100472.584, 'volt_b2': 1.024, 'current_2': -6.0, 'current_1': -173.0, 'time': 1486082290.559568, 'mag_y': 273.0, 'mag_x': 7702.0, 'gps_spd': 0.053, 'mag_z': -8292.0}
{'gps_lat': 37.276, 'squib_deployed': 0, 'temp': 22.922, 'gps_lon': -121.827, 'gps_alt': 83.506, 'flight_mode': 0, 'a_z': 1.061, 'a_y': -0.03, 'a_x': -0.014, 'volt_b1': 3.456, 'pressure': 100471.864, 'volt_b2': 1.024, 'current_2': -4.0, 'current_1': -157.0, 'time': 1486082290.636926, 'mag_y': 272.0, 'mag_x': 7732.0, 'gps_spd': 0.053, 'mag_z': -8364.0}
{'gps_lat': 37.276, 'squib_deployed': 0, 'temp': 22.922, 'gps_lon': -121.827, 'gps_alt': 83.506, 'flight_mode': 0, 'a_z': 1.063, 'a_y': -0.032, 'a_x': -0.015, 'volt_b1': 3.456, 'pressure': 100471.864, 'volt_b2': 1.024, 'current_2': -6.0, 'current_1': -179.0, 'time': 1486082290.714267, 'mag_y': 259.0, 'mag_x': 7723.0, 'gps_spd': 0.053, 'mag_z': -8309.0}
{'gps_lat': 37.276, 'squib_deployed': 0, 'temp': 22.922, 'gps_lon': -121.827, 'gps_alt': 83.506, 'flight_mode': 0, 'a_z': 1.051, 'a_y': -0.033, 'a_x': -0.013, 'volt_b1': 3.456, 'pressure': 100471.864, 'volt_b2': 1.024, 'current_2': -5.0, 'current_1': -177.0, 'time': 1486082290.791687, 'mag_y': 269.0, 'mag_x': 7752.0, 'gps_spd': 0.053, 'mag_z': -8361.0}
{'gps_lat': 37.276, 'squib_deployed': 0, 'temp': 22.922, 'gps_lon': -121.827, 'gps_alt': 83.506, 'flight_mode': 0, 'a_z': 1.052, 'a_y': -0.031, 'a_x': -0.014, 'volt_b1': 3.456, 'pressure': 100471.864, 'volt_b2': 0.896, 'current_2': -6.0, 'current_1': -168.0, 'time': 1486082290.869118, 'mag_y': 300.0, 'mag_x': 7734.0, 'gps_spd': 0.053, 'mag_z': -8337.0}
{'gps_lat': 37.276, 'squib_deployed': 0, 'temp': 22.922, 'gps_lon': -121.827, 'gps_alt': 83.506, 'flight_mode': 0, 'a_z': 1.053, 'a_y': -0.032, 'a_x': -0.014, 'volt_b1': 3.456, 'pressure': 100471.864, 'volt_b2': 0.896, 'current_2': -4.0, 'current_1': -185.0, 'time': 1486082290.946453, 'mag_y': 276.0, 'mag_x': 7758.0, 'gps_spd': 0.053, 'mag_z': -8347.0}
{'gps_lat': 37.276, 'squib_deployed': 0, 'temp': 22.922, 'gps_lon': -121.827, 'gps_alt': 83.506, 'flight_mode': 0, 'a_z': 1.052, 'a_y': -0.032, 'a_x': -0.015, 'volt_b1': 3.456, 'pressure': 100471.864, 'volt_b2': 1.024, 'current_2': -5.0, 'current_1': -106.0, 'time': 1486082291.023936, 'mag_y': 283.0, 'mag_x': 7715.0, 'gps_spd': 0.053, 'mag_z': -8313.0}
{'gps_lat': 37.276, 'squib_deployed': 0, 'temp': 22.922, 'gps_lon': -121.827, 'gps_alt': 83.506, 'flight_mode': 0, 'a_z': 1.057, 'a_y': -0.031, 'a_x': -0.016, 'volt_b1': 3.456, 'pressure': 100471.864, 'volt_b2': 1.024, 'current_2': -4.0, 'current_1': -121.0, 'time': 1486082291.103172, 'mag_y': 239.0, 'mag_x': 7726.0, 'gps_spd': 0.053, 'mag_z': -8331.0}
{'gps_lat': 37.276, 'squib_deployed': 0, 'temp': 22.911, 'gps_lon': -121.827, 'gps_alt': 83.506, 'flight_mode': 0, 'a_z': 1.076, 'a_y': -0.026, 'a_x': 0.106, 'volt_b1': 3.584, 'pressure': 100471.26, 'volt_b2': 1.024, 'current_2': -6.0, 'current_1': -125.0, 'time': 1486082291.182262, 'mag_y': 282.0, 'mag_x': 7726.0, 'gps_spd': 0.053, 'mag_z': -8325.0}
{'gps_lat': 37.276, 'squib_deployed': 0, 'temp': 22.911, 'gps_lon': -121.827, 'gps_alt': 83.506, 'flight_mode': 0, 'a_z': 1.067, 'a_y': 0.038, 'a_x': -0.152, 'volt_b1': 3.456, 'pressure': 100471.26, 'volt_b2': 1.024, 'current_2': -4.0, 'current_1': -115.0, 'time': 1486082291.261519, 'mag_y': 241.0, 'mag_x': 7753.0, 'gps_spd': 0.053, 'mag_z': -8391.0}
{'gps_lat': 37.276, 'squib_deployed': 0, 'temp': 22.911, 'gps_lon': -121.827, 'gps_alt': 83.506, 'flight_mode': 0, 'a_z': 1.128, 'a_y': -0.08, 'a_x': 0.019, 'volt_b1': 3.584, 'pressure': 100471.26, 'volt_b2': 1.024, 'current_2': -5.0, 'current_1': -125.0, 'time': 1486082291.340668, 'mag_y': 294.0, 'mag_x': 7699.0, 'gps_spd': 0.053, 'mag_z': -8329.0}
{'gps_lat': 37.276, 'squib_deployed': 0, 'temp': 22.911, 'gps_lon': -121.827, 'gps_alt': 83.506, 'flight_mode': 0, 'a_z': 1.028, 'a_y': -0.012, 'a_x': -0.024, 'volt_b1': 3.456, 'pressure': 100471.26, 'volt_b2': 1.024, 'current_2': -5.0, 'current_1': -103.0, 'time': 1486082291.419851, 'mag_y': 275.0, 'mag_x': 7720.0, 'gps_spd': 0.053, 'mag_z': -8327.0}
{'gps_lat': 37.276, 'squib_deployed': 0, 'temp': 22.911, 'gps_lon': -121.827, 'gps_alt': 83.506, 'flight_mode': 0, 'a_z': 1.05, 'a_y': -0.03, 'a_x': -0.015, 'volt_b1': 3.584, 'pressure': 100471.26, 'volt_b2': 1.024, 'current_2': -6.0, 'current_1': -115.0, 'time': 1486082291.499042, 'mag_y': 257.0, 'mag_x': 7710.0, 'gps_spd': 0.053, 'mag_z': -8388.0}
{'gps_lat': 37.276, 'squib_deployed': 0, 'temp': 22.911, 'gps_lon': -121.827, 'gps_alt': 83.506, 'flight_mode': 0, 'a_z': 1.05, 'a_y': -0.029, 'a_x': -0.003, 'volt_b1': 3.584, 'pressure': 100471.26, 'volt_b2': 1.024, 'current_2': -5.0, 'current_1': -116.0, 'time': 1486082291.578087, 'mag_y': 287.0, 'mag_x': 7707.0, 'gps_spd': 0.053, 'mag_z': -8377.0}
{'gps_lat': 37.276, 'squib_deployed': 0, 'temp': 22.899, 'gps_lon': -121.827, 'gps_alt': 83.506, 'flight_mode': 0, 'a_z': 1.042, 'a_y': -0.03, 'a_x': -0.024, 'volt_b1': 3.456, 'pressure': 100470.414, 'volt_b2': 1.024, 'current_2': -5.0, 'current_1': -119.0, 'time': 1486082291.657151, 'mag_y': 231.0, 'mag_x': 7737.0, 'gps_spd': 0.053, 'mag_z': -8374.0}
{'gps_lat': 37.276, 'squib_deployed': 0, 'temp': 22.899, 'gps_lon': -121.827, 'gps_alt': 83.506, 'flight_mode': 0, 'a_z': 1.082, 'a_y': -0.048, 'a_x': 0.027, 'volt_b1': 3.584, 'pressure': 100470.414, 'volt_b2': 1.024, 'current_2': -5.0, 'current_1': -148.0, 'time': 1486082291.736255, 'mag_y': 272.0, 'mag_x': 7683.0, 'gps_spd': 0.053, 'mag_z': -8347.0}
{'gps_lat': 37.276, 'squib_deployed': 0, 'temp': 22.899, 'gps_lon': -121.827, 'gps_alt': 83.506, 'flight_mode': 0, 'a_z': 1.053, 'a_y': 0.072, 'a_x': -0.009, 'volt_b1': 3.584, 'pressure': 100470.414, 'volt_b2': 0.896, 'current_2': -5.0, 'current_1': -116.0, 'time': 1486082291.815429, 'mag_y': 226.0, 'mag_x': 7736.0, 'gps_spd': 0.053, 'mag_z': -8336.0}
{'gps_lat': 37.276, 'squib_deployed': 0, 'temp': 22.899, 'gps_lon': -121.827, 'gps_alt': 83.506, 'flight_mode': 0, 'a_z': 1.063, 'a_y': -0.07, 'a_x': -0.006, 'volt_b1': 3.584, 'pressure': 100470.414, 'volt_b2': 0.896, 'current_2': -5.0, 'current_1': -125.0, 'time': 1486082291.894488, 'mag_y': 236.0, 'mag_x': 7699.0, 'gps_spd': 0.053, 'mag_z': -8356.0}
{'gps_lat': 37.276, 'squib_deployed': 0, 'temp': 22.899, 'gps_lon': -121.827, 'gps_alt': 83.506, 'flight_mode': 0, 'a_z': 1.047, 'a_y': -0.015, 'a_x': -0.017, 'volt_b1': 3.584, 'pressure': 100470.414, 'volt_b2': 1.024, 'current_2': -5.0, 'current_1': -104.0, 'time': 1486082291.973523, 'mag_y': 221.0, 'mag_x': 7707.0, 'gps_spd': 0.053, 'mag_z': -8364.0}
{'gps_lat': 37.276, 'squib_deployed': 0, 'temp': 22.899, 'gps_lon': -121.827, 'gps_alt': 83.506, 'flight_mode': 0, 'a_z': 1.021, 'a_y': -0.035, 'a_x': -0.029, 'volt_b1': 3.584, 'pressure': 100470.414, 'volt_b2': 1.024, 'current_2': -5.0, 'current_1': -110.0, 'time': 1486082292.052688, 'mag_y': 246.0, 'mag_x': 7718.0, 'gps_spd': 0.053, 'mag_z': -8351.0}
{'gps_lat': 37.276, 'squib_deployed': 0, 'temp': 22.899, 'gps_lon': -121.827, 'gps_alt': 83.506, 'flight_mode': 0, 'a_z': 1.043, 'a_y': -0.077, 'a_x': 0.103, 'volt_b1': 3.456, 'pressure': 100470.414, 'volt_b2': 1.024, 'current_2': -5.0, 'current_1': -123.0, 'time': 1486082292.131803, 'mag_y': 240.0, 'mag_x': 7685.0, 'gps_spd': 0.053, 'mag_z': -8353.0}
{'gps_lat': 37.276, 'squib_deployed': 0, 'temp': 22.889, 'gps_lon': -121.827, 'gps_alt': 83.506, 'flight_mode': 0, 'a_z': 1.058, 'a_y': 0.028, 'a_x': -0.04, 'volt_b1': 3.456, 'pressure': 100469.782, 'volt_b2': 1.024, 'current_2': -5.0, 'current_1': -90.0, 'time': 1486082292.210986, 'mag_y': 224.0, 'mag_x': 7669.0, 'gps_spd': 0.053, 'mag_z': -8374.0}
